length,nonPrint,specialChars,sqlKeys,jsKeys,cmdKeys,label
13,0,6,0,1,1,XSS
12,0,5,0,1,1,XSS
16,0,8,0,1,1,XSS
15,0,7,0,1,1,XSS
35,0,16,1,3,0,XSS
36,0,17,1,3,0,XSS
24,0,8,0,2,1,XSS
46,0,14,0,3,1,XSS
29,0,7,0,3,1,XSS
27,0,7,0,2,1,XSS
29,1,6,0,3,1,XSS
27,1,6,0,2,1,XSS
32,3,6,0,3,1,XSS
30,3,6,0,2,1,XSS
48,3,12,0,3,2,XSS
21,1,5,0,2,0,XSS
24,1,8,0,2,0,XSS
23,0,6,0,2,1,XSS
29,0,7,0,3,0,XSS
11,0,5,0,1,0,XSS
11,0,5,0,1,0,XSS
13,0,7,0,1,0,XSS
30,1,8,0,3,1,XSS
47,4,6,1,4,0,XSS
32,3,6,0,3,0,XSS
30,3,6,0,3,1,XSS
44,4,6,0,4,0,XSS
29,3,6,0,3,2,XSS
42,4,6,1,5,0,XSS
30,3,6,0,3,0,XSS
48,4,6,1,4,0,XSS
48,4,6,2,2,0,XSS
53,5,6,1,3,0,XSS
54,5,6,1,2,0,XSS
51,5,6,1,2,0,XSS
36,3,6,0,4,1,XSS
36,3,6,0,3,2,XSS
35,3,6,0,3,1,XSS
36,3,6,0,3,1,XSS
34,3,6,0,3,0,XSS
47,3,6,1,2,1,XSS
19,1,6,0,2,1,XSS
19,1,6,0,2,1,XSS
38,2,9,0,1,1,XSS
27,1,6,0,1,1,XSS
20,2,4,0,1,0,XSS
13,2,3,0,0,0,XSS
13,2,3,0,0,0,XSS
13,2,3,0,0,0,XSS
13,2,3,0,0,0,XSS
12,1,2,0,0,0,XSS
11,2,2,0,0,0,XSS
11,2,2,0,0,0,XSS
11,2,2,0,0,0,XSS
18,2,3,0,0,0,XSS
11,1,3,0,0,0,XSS
13,1,3,0,0,0,XSS
13,1,3,0,0,0,XSS
13,1,3,0,0,0,XSS
13,1,3,0,1,0,XSS
13,1,3,0,0,0,XSS
16,2,5,0,0,0,XSS
15,1,5,0,0,0,XSS
13,2,4,0,0,0,XSS
17,3,6,0,0,0,XSS
18,0,6,0,0,0,XSS
21,2,6,0,1,0,XSS
113,1,26,5,8,2,XSS
24,0,8,0,2,0,XSS
30,1,10,0,2,1,XSS
29,0,11,0,2,1,XSS
31,0,15,0,2,0,XSS
30,0,14,0,2,0,XSS
34,0,15,0,2,1,XSS
26,1,7,0,2,1,XSS
33,2,6,0,2,1,XSS
33,2,6,0,3,1,XSS
32,2,6,0,3,1,XSS
34,2,6,0,2,1,XSS
44,2,8,0,2,1,XSS
53,3,9,3,4,4,XSS
61,4,8,4,3,3,XSS
51,2,8,1,4,2,XSS
69,4,10,4,4,4,XSS
68,4,10,4,4,3,XSS
67,4,10,4,4,3,XSS
65,4,8,4,4,4,XSS
34,2,6,1,2,1,XSS
57,2,14,1,3,2,XSS
42,3,11,0,3,1,XSS
50,2,9,0,3,1,XSS
150,8,31,2,3,2,XSS
29,2,5,1,1,3,XSS
27,2,5,0,1,1,XSS
28,2,5,0,1,2,XSS
29,1,5,0,1,1,XSS
35,1,5,1,2,0,XSS
34,2,9,0,2,0,XSS
73,2,19,1,5,0,XSS
57,0,17,1,5,0,XSS
35,1,10,0,2,1,XSS
36,1,11,0,2,1,XSS
47,2,12,0,1,1,XSS
48,2,13,0,1,1,XSS
86,3,20,0,5,1,XSS
86,2,21,0,5,1,XSS
15,1,5,0,0,0,XSS
70,0,20,1,4,2,XSS
22,1,5,0,2,0,XSS
26,1,5,0,1,0,XSS
23,1,5,0,3,0,XSS
52,3,11,1,3,0,XSS
65,3,11,2,3,2,XSS
40,1,13,1,3,1,XSS
40,0,20,0,0,0,XSS
34,1,16,0,0,0,XSS
34,2,6,0,2,0,XSS
38,3,8,0,1,1,XSS
26,1,5,1,1,2,XSS
42,3,7,1,1,0,XSS
32,2,5,1,2,2,XSS
36,1,7,2,2,2,XSS
33,2,5,1,4,0,XSS
35,2,5,0,3,0,XSS
43,2,8,2,4,3,XSS
44,1,9,3,4,0,XSS
56,5,8,0,2,0,XSS
18,0,4,0,1,0,XSS
17,0,5,0,1,0,XSS
15,0,5,0,1,0,XSS
12,0,4,0,1,0,XSS
15,0,5,0,1,2,XSS
18,0,9,0,1,1,XSS
