payload,attack
0,LEGIT
1,LEGIT
2,LEGIT
3,LEGIT
4,LEGIT
5,LEGIT
6,LEGIT
7,LEGIT
8,LEGIT
9,LEGIT
10,LEGIT
11,LEGIT
12,LEGIT
13,LEGIT
14,LEGIT
15,LEGIT
16,LEGIT
17,LEGIT
18,LEGIT
19,LEGIT
20,LEGIT
21,LEGIT
22,LEGIT
23,LEGIT
24,LEGIT
25,LEGIT
26,LEGIT
27,LEGIT
28,LEGIT
29,LEGIT
30,LEGIT
31,LEGIT
32,LEGIT
33,LEGIT
34,LEGIT
35,LEGIT
36,LEGIT
37,LEGIT
38,LEGIT
39,LEGIT
40,LEGIT
41,LEGIT
42,LEGIT
43,LEGIT
44,LEGIT
45,LEGIT
46,LEGIT
47,LEGIT
48,LEGIT
49,LEGIT
50,LEGIT
51,LEGIT
52,LEGIT
53,LEGIT
54,LEGIT
55,LEGIT
56,LEGIT
57,LEGIT
58,LEGIT
59,LEGIT
60,LEGIT
61,LEGIT
62,LEGIT
63,LEGIT
64,LEGIT
65,LEGIT
66,LEGIT
67,LEGIT
68,LEGIT
69,LEGIT
70,LEGIT
71,LEGIT
72,LEGIT
73,LEGIT
74,LEGIT
75,LEGIT
76,LEGIT
77,LEGIT
78,LEGIT
79,LEGIT
80,LEGIT
81,LEGIT
82,LEGIT
83,LEGIT
84,LEGIT
85,LEGIT
86,LEGIT
87,LEGIT
88,LEGIT
89,LEGIT
90,LEGIT
91,LEGIT
92,LEGIT
93,LEGIT
94,LEGIT
95,LEGIT
96,LEGIT
97,LEGIT
98,LEGIT
99,LEGIT
100,LEGIT
101,LEGIT
102,LEGIT
103,LEGIT
104,LEGIT
105,LEGIT
107,LEGIT
108,LEGIT
109,LEGIT
113,LEGIT
114,LEGIT
115,LEGIT
116,LEGIT
119,LEGIT
121,LEGIT
122,LEGIT
123,LEGIT
124,LEGIT
127,LEGIT
128,LEGIT
129,LEGIT
130,LEGIT
132,LEGIT
133,LEGIT
134,LEGIT
135,LEGIT
137,LEGIT
138,LEGIT
140,LEGIT
141,LEGIT
142,LEGIT
143,LEGIT
144,LEGIT
145,LEGIT
146,LEGIT
150,LEGIT
152,LEGIT
156,LEGIT
157,LEGIT
160,LEGIT
169,LEGIT
170,LEGIT
171,LEGIT
172,LEGIT
173,LEGIT
175,LEGIT
178,LEGIT
179,LEGIT
180,LEGIT
181,LEGIT
185,LEGIT
187,LEGIT
189,LEGIT
197,LEGIT
200,LEGIT
201,LEGIT
207,LEGIT
211,LEGIT
213,LEGIT
218,LEGIT
220,LEGIT
225,LEGIT
226,LEGIT
230,LEGIT
232,LEGIT
235,LEGIT
236,LEGIT
240,LEGIT
241,LEGIT
243,LEGIT
245,LEGIT
246,LEGIT
249,LEGIT
250,LEGIT
252,LEGIT
254,LEGIT
256,LEGIT
266,LEGIT
268,LEGIT
270,LEGIT
271,LEGIT
273,LEGIT
277,LEGIT
280,LEGIT
288,LEGIT
289,LEGIT
292,LEGIT
297,LEGIT
299,LEGIT
300,LEGIT
303,LEGIT
309,LEGIT
312,LEGIT
313,LEGIT
317,LEGIT
318,LEGIT
325,LEGIT
326,LEGIT
329,LEGIT
330,LEGIT
337,LEGIT
338,LEGIT
340,LEGIT
341,LEGIT
349,LEGIT
350,LEGIT
352,LEGIT
357,LEGIT
358,LEGIT
360,LEGIT
364,LEGIT
365,LEGIT
366,LEGIT
367,LEGIT
368,LEGIT
369,LEGIT
372,LEGIT
378,LEGIT
381,LEGIT
382,LEGIT
385,LEGIT
389,LEGIT
391,LEGIT
400,LEGIT
404,LEGIT
406,LEGIT
409,LEGIT
414,LEGIT
433,LEGIT
439,LEGIT
443,LEGIT
446,LEGIT
449,LEGIT
450,LEGIT
455,LEGIT
464,LEGIT
467,LEGIT
468,LEGIT
469,LEGIT
477,LEGIT
480,LEGIT
490,LEGIT
499,LEGIT
500,LEGIT
503,LEGIT
507,LEGIT
510,LEGIT
512,LEGIT
514,LEGIT
517,LEGIT
520,LEGIT
522,LEGIT
524,LEGIT
525,LEGIT
528,LEGIT
535,LEGIT
536,LEGIT
540,LEGIT
544,LEGIT
546,LEGIT
548,LEGIT
550,LEGIT
560,LEGIT
562,LEGIT
568,LEGIT
569,LEGIT
571,LEGIT
572,LEGIT
573,LEGIT
574,LEGIT
576,LEGIT
577,LEGIT
586,LEGIT
590,LEGIT
591,LEGIT
596,LEGIT
598,LEGIT
599,LEGIT
600,LEGIT
603,LEGIT
606,LEGIT
607,LEGIT
608,LEGIT
609,LEGIT
612,LEGIT
614,LEGIT
617,LEGIT
618,LEGIT
620,LEGIT
621,LEGIT
622,LEGIT
626,LEGIT
627,LEGIT
629,LEGIT
630,LEGIT
631,LEGIT
636,LEGIT
639,LEGIT
640,LEGIT
645,LEGIT
647,LEGIT
651,LEGIT
652,LEGIT
662,LEGIT
664,LEGIT
668,LEGIT
675,LEGIT
676,LEGIT
683,LEGIT
684,LEGIT
686,LEGIT
688,LEGIT
692,LEGIT
695,LEGIT
697,LEGIT
698,LEGIT
700,LEGIT
701,LEGIT
702,LEGIT
703,LEGIT
704,LEGIT
705,LEGIT
708,LEGIT
710,LEGIT
711,LEGIT
712,LEGIT
714,LEGIT
716,LEGIT
718,LEGIT
721,LEGIT
722,LEGIT
723,LEGIT
724,LEGIT
725,LEGIT
728,LEGIT
730,LEGIT
736,LEGIT
738,LEGIT
744,LEGIT
745,LEGIT
748,LEGIT
750,LEGIT
756,LEGIT
760,LEGIT
762,LEGIT
763,LEGIT
764,LEGIT
766,LEGIT
768,LEGIT
770,LEGIT
771,LEGIT
774,LEGIT
777,LEGIT
778,LEGIT
783,LEGIT
784,LEGIT
786,LEGIT
791,LEGIT
794,LEGIT
798,LEGIT
799,LEGIT
800,LEGIT
812,LEGIT
814,LEGIT
815,LEGIT
818,LEGIT
826,LEGIT
827,LEGIT
828,LEGIT
846,LEGIT
847,LEGIT
859,LEGIT
870,LEGIT
875,LEGIT
877,LEGIT
891,LEGIT
897,LEGIT
898,LEGIT
900,LEGIT
903,LEGIT
911,LEGIT
913,LEGIT
919,LEGIT
926,LEGIT
928,LEGIT
934,LEGIT
935,LEGIT
938,LEGIT
940,LEGIT
945,LEGIT
946,LEGIT
948,LEGIT
956,LEGIT
958,LEGIT
964,LEGIT
965,LEGIT
972,LEGIT
973,LEGIT
976,LEGIT
978,LEGIT
983,LEGIT
985,LEGIT
988,LEGIT
990,LEGIT
991,LEGIT
993,LEGIT
994,LEGIT
996,LEGIT
1000,LEGIT
1003,LEGIT
1005,LEGIT
1006,LEGIT
1008,LEGIT
1010,LEGIT
1011,LEGIT
1012,LEGIT
1019,LEGIT
1020,LEGIT
1022,LEGIT
1023,LEGIT
1024,LEGIT
1029,LEGIT
1030,LEGIT
1032,LEGIT
1033,LEGIT
1039,LEGIT
1043,LEGIT
1044,LEGIT
1048,LEGIT
1050,LEGIT
1052,LEGIT
1056,LEGIT
1063,LEGIT
1064,LEGIT
1065,LEGIT
1073,LEGIT
1077,LEGIT
1079,LEGIT
1084,LEGIT
1087,LEGIT
1096,LEGIT
1102,LEGIT
1103,LEGIT
1105,LEGIT
1111,LEGIT
1112,LEGIT
1118,LEGIT
1120,LEGIT
1121,LEGIT
1125,LEGIT
1126,LEGIT
1127,LEGIT
1133,LEGIT
1139,LEGIT
1140,LEGIT
1141,LEGIT
1142,LEGIT
1147,LEGIT
1152,LEGIT
1153,LEGIT
1157,LEGIT
1164,LEGIT
1165,LEGIT
1166,LEGIT
1169,LEGIT
1170,LEGIT
