length,nonPrint,specialChars,sqlKeys,jsKeys,cmdKeys,label
9,0,0,2,1,0,LEGIT
40,1,10,0,3,1,XSS
5,0,0,0,0,0,LEGIT
5,0,0,0,0,0,LEGIT
9,0,0,1,1,0,LEGIT
9,0,0,0,0,0,LEGIT
39,1,10,0,2,0,XSS
6,0,0,0,0,0,LEGIT
8,0,0,0,0,0,LEGIT
6,0,0,0,0,0,LEGIT
9,0,0,0,0,0,LEGIT
8,0,0,0,0,0,LEGIT
11,0,0,0,0,0,LEGIT
16,0,0,0,0,0,LEGIT
5,0,0,0,0,0,LEGIT
6,0,0,0,0,0,LEGIT
6,0,0,0,0,0,LEGIT
9,0,0,0,0,0,LEGIT
71,5,13,2,2,0,XSS
16,0,0,0,0,0,LEGIT
6,0,0,0,0,0,LEGIT
9,0,0,0,0,0,LEGIT
57,2,13,2,5,0,XSS
7,0,0,0,0,0,LEGIT
7,0,0,1,1,2,LEGIT
6,0,0,0,0,1,LEGIT
8,0,0,0,0,0,LEGIT
5,0,0,0,0,0,LEGIT
10,0,0,0,0,0,LEGIT
5,0,0,0,0,0,LEGIT
58,2,13,1,3,0,XSS
7,0,0,0,0,0,LEGIT
20,0,0,0,0,0,LEGIT
5,0,0,0,0,0,LEGIT
5,0,0,0,0,0,LEGIT
7,0,0,0,0,0,LEGIT
5,0,0,0,0,1,LEGIT
12,0,0,0,0,0,LEGIT
13,0,0,2,0,1,LEGIT
9,0,0,0,0,0,LEGIT
8,0,0,0,0,1,LEGIT
6,0,0,0,0,0,LEGIT
5,0,0,1,0,0,LEGIT
5,0,0,0,0,0,LEGIT
5,0,0,0,0,0,LEGIT
7,0,0,0,0,0,LEGIT
6,0,0,0,0,0,LEGIT
5,0,0,0,0,0,LEGIT
11,0,0,1,1,1,LEGIT
6,0,0,0,0,0,LEGIT
10,0,0,0,0,1,LEGIT
46,2,10,1,2,0,XSS
418,11,161,1,4,2,XSS
63,2,10,3,2,1,XSS
5,0,0,0,0,0,LEGIT
5,0,0,0,0,0,LEGIT
5,0,0,0,0,0,LEGIT
102,5,23,1,1,2,XSS
7,0,0,0,0,0,LEGIT
5,0,0,0,0,0,LEGIT
5,0,0,0,0,0,LEGIT
6,0,0,0,0,0,LEGIT
7,0,0,0,0,0,LEGIT
5,0,0,0,0,0,LEGIT
7,0,0,0,0,0,LEGIT
5,0,0,0,0,0,LEGIT
5,0,0,0,0,0,LEGIT
5,0,0,0,0,0,LEGIT
11,0,0,0,0,0,LEGIT
5,0,0,0,0,0,LEGIT
7,0,0,0,0,0,LEGIT
8,0,0,0,0,0,LEGIT
6,0,0,0,0,0,LEGIT
9,0,0,0,0,0,LEGIT
8,0,0,0,0,0,LEGIT
8,0,0,0,0,0,LEGIT
5,0,0,0,0,0,LEGIT
6,0,0,0,0,0,LEGIT
5,0,0,0,0,0,LEGIT
6,0,0,0,0,0,LEGIT
10,0,0,0,0,0,LEGIT
6,0,0,0,0,0,LEGIT
15,1,2,2,1,0,SQLI
8,0,0,0,0,0,LEGIT
6,0,0,0,0,0,LEGIT
58,2,10,2,2,2,XSS
5,0,0,0,0,0,LEGIT
5,0,0,0,0,0,LEGIT
9,0,0,0,0,1,LEGIT
10,0,0,0,0,0,LEGIT
8,0,0,0,0,0,LEGIT
9,0,0,0,0,1,LEGIT
16,0,0,1,0,0,LEGIT
11,0,0,0,1,0,LEGIT
11,0,0,0,0,1,LEGIT
6,0,0,1,0,0,LEGIT
9,0,0,0,0,0,LEGIT
8,0,0,0,0,1,LEGIT
8,0,0,0,0,0,LEGIT
8,0,0,0,0,0,LEGIT
